,author,name,pid
4819,Daniel Costinett,Daniel Costinett,68/10629
4820,Daniel Cremers,Daniel Cremers,c/DanielCremers
4821,Daniel D. Lee [Tech],,
4822,Daniel D. Suthers,Daniel D. Suthers,83/5724
4823,Daniel David Campbell Prince,Daniel Prince,51/1395
4824,Daniel Deutch,Daniel Deutch,98/6876
4825,Daniel Dominic Kaplan Sleator,Daniel Dominic Sleator,s/DanielDominicSleator
4826,Daniel Dominic Sleator,Daniel Dominic Sleator,s/DanielDominicSleator
4827,Daniel E. Atkins,Daniel E. Atkins,29/5357
4828,Daniel E. Koditschek,Daniel E. Koditschek,33/4989
4829,Daniel E. Krutz,Daniel E. Krutz,137/6127
4830,Daniel Engels,Daniel Engels,201/9207
4831,Daniel F. Keefe,Daniel F. Keefe,42/3096
4832,Daniel F. Macedo,Daniel F. Macedo,74/2460
4833,Daniel Fabbri,Daniel Fabbri,17/7449
4834,Daniel Fernandes Macedo,Daniel F. Macedo,74/2460
4835,Daniel Fischer 0001,Daniel Fischer 0001,16/1569-1
4836,Daniel Fridlender,Daniel Fridlender,88/1431
4837,Daniel G. Aliaga,Daniel G. Aliaga,a/DanielGAliaga
4838,Daniel G. Brown 0001,Daniel G. Brown 0001,67/5151-1
4839,Daniel Gardham,Daniel Gardham,222/6614
4840,Daniel Genkin,Daniel Genkin,98/8283
4841,Daniel Gildea,Daniel Gildea,51/844
4842,Daniel Gillis,Daniel Gillis,259/0296
4843,Daniel Goehring,Daniel Göhring,97/3289
4844,Daniel Gonçalves 0002,Daniel Gonçalves 0002,40/693-2
4845,Daniel Gooch,Daniel Gooch,62/8928
4846,Daniel Gottesman,Daniel Gottesman,g/DanielGottesman
4847,Daniel Gregory Brown,Daniel G. Brown 0001,67/5151-1
4848,Daniel Grosu,Daniel Grosu,g/DanielGrosu
4849,Daniel Gruss,Daniel Gruss,166/1494
4850,Daniel Gusfield,Dan Gusfield,g/DanGusfield
4851,Daniel Göhring,Daniel Göhring,97/3289
4852,Daniel H. Huson,Daniel H. Huson,03/1116
4853,Daniel Haehn,Daniel Haehn,153/7790
4854,Daniel Hershcovich,Daniel Hershcovich,145/9324
4855,Daniel Hirschkoff,Daniel Hirschkoff,19/6261
4856,Daniel Hsu 0001,Daniel Hsu 0001,h/DanielHsu
4857,Daniel Hughes,,
4858,Daniel Hughes 0001,Danny Hughes 0001,h/DannyHughes
4859,Daniel J. Abadi,Daniel J. Abadi,a/DJAbadi
4860,Daniel J. Dougherty,Daniel J. Dougherty,11/1963
4861,Daniel J. Finnegan,Daniel J. Finnegan,164/0115
4862,Daniel J. Hsu,Daniel Hsu 0001,h/DanielHsu
4863,Daniel J. Lizotte,Daniel J. Lizotte,l/DanielJLizotte
4864,Daniel J. McQuillan,Daniel McQuillan,82/6562
4865,Daniel J. Rigden,Daniel J. Rigden,69/2810
4866,Daniel J. Rough,Daniel J. Rough,269/2024
4867,Daniel J. Simon,Daniel J. Simon,25/5784
4868,Daniel J. Sorin,Daniel J. Sorin,27/2064
4869,Daniel J. Szafir,Daniel Szafir,97/11299
4870,Daniel J. Wigdor,Daniel J. Wigdor,w/DanielWigdor
4871,Daniel Jackson 0001,Daniel Jackson 0001,80/1906-1
4872,Daniel Jiménez-González,Daniel Jiménez-González,59/1032
4873,Daniel John Rough,Daniel J. Rough,269/2024
4874,Daniel Jorge Viegas Gonçalves,Daniel Gonçalves 0002,40/693-2
4875,Daniel Jurafsky,Daniel Jurafsky,31/985
4876,Daniel Kane,Daniel Kane,52/6817
4877,Daniel Karapetyan,Daniel Karapetyan,83/2501
4878,Daniel Keren,Daniel Keren,16/3921
4879,Daniel Kifer,Daniel Kifer,84/114
4880,Daniel Král,Daniel Král,k/DanielKarl
4881,Daniel Král',Daniel Král,k/DanielKarl
4882,Daniel Kudenko,Daniel Kudenko,46/2964
4883,Daniel L. Chester,Daniel L. Chester,86/2363
4884,Daniel L. Pimentel-Alarcón,Daniel L. Pimentel-Alarcón,150/6256
4885,Daniel Leithinger,Daniel Leithinger,95/1908
4886,Daniel Leivant,Daniel Leivant,l/DanielLeivant
4887,Daniel Lohmann,Daniel Lohmann,57/863
4888,Daniel Lokshantov,Daniel Lokshtanov,78/67
4889,Daniel Lokshtanov,Daniel Lokshtanov,78/67
4890,Daniel Lopresti,Daniel P. Lopresti,l/DanielPLopresti
4891,Daniel Lowd,Daniel Lowd,80/3901
4892,Daniel M. Batista,Daniel M. Batista,20/833
4893,Daniel M. Berry,Daniel M. Berry,07/5447
4894,Daniel M. Everett,Daniel M. Everett,e/DanielMEverett
4895,Daniel M. Fleetwood,Daniel M. Fleetwood,91/3785
4896,Daniel M. Germán,Daniel M. Germán,g/DanielMGerman
4897,Daniel M. Kane,Daniel M. Kane,52/6817
4898,Daniel M. Romero,Daniel M. Romero,38/6994
4899,Daniel M. Roy 0001,Daniel M. Roy 0001,04/2068
4900,Daniel Macêdo Batista,Daniel M. Batista,20/833
4901,Daniel Manrique-Vallier,Daniel Manrique-Vallier,163/3128
4902,Daniel Massey,Daniel Massey,70/1616
4903,Daniel Mauricio Romero,Daniel M. Romero,38/6994
4904,Daniel McQuillan,Daniel McQuillan,82/6562
4905,Daniel Mossé,Daniel Mossé,m/DanielMosse
4906,Daniel N. Rockmore,Daniel N. Rockmore,r/DNRockmore
4907,Daniel Oliveira 0001,Daniel Oliveira 0001,68/7553-1
4908,Daniel P. Friedman,Daniel P. Friedman,f/DPFriedman
4909,Daniel P. Huttenlocher,Daniel P. Huttenlocher,h/DPHuttenlocher
4910,Daniel P. Lopresti,Daniel P. Lopresti,l/DanielPLopresti
4911,Daniel P. Miranker,Daniel P. Miranker,m/DPMiranker
4912,Daniel P. Siewiorek,Daniel P. Siewiorek,50/842
4913,Daniel Page,Daniel Page,p/DanPage
4914,Daniel Penazzi,Daniel Penazzi,162/0174
4915,Daniel Pieter Saakes,Daniel Saakes,10/6797
4916,Daniel Prince,Daniel Prince,51/1395
4917,Daniel R. Catchpoole,Daniel R. Catchpoole,40/744
4918,Daniel R. Figueiredo,Daniel R. Figueiredo 0001,46/4473
4919,Daniel R. Figueiredo 0001,Daniel R. Figueiredo 0001,46/4473
4920,Daniel R. Sheldon,Daniel Sheldon,58/766
4921,Daniel R. Tauritz,Daniel R. Tauritz,89/1589
4922,Daniel R. Thomas,Daniel R. Thomas,153/2620
4923,Daniel Ratton Figueiredo,Daniel R. Figueiredo 0001,46/4473
4924,Daniel Raviv,Daniel Raviv,55/4783
4925,Daniel Reidenbach,Daniel Reidenbach,92/5487
4926,Daniel Ritchie,Daniel Ritchie,17/7188
4927,Daniel Rivero,,
4928,Daniel Rochowiak,Daniel Rochowiak,42/2342
4929,Daniel Rough,Daniel J. Rough,269/2024
4930,Daniel Rueckert,Daniel Rueckert,69/2478
4931,Daniel Russo,,
4932,Daniel S. Hirschberg,Daniel S. Hirschberg,h/DanielSHirschberg
4933,Daniel S. Lopes,Daniel S. Lopes,165/6230
4934,Daniel S. Wallach,Dan S. Wallach,w/DanSWallach
4935,Daniel Saakes,Daniel Saakes,10/6797
4936,Daniel Schien,Daniel Schien,130/0498
4937,Daniel Schwartz,Daniel Schwartz,06/5063
4938,Daniel Sheldon,Daniel Sheldon,58/766
4939,Daniel Simões Lopes,Daniel Simões Lopes,165/6230
4940,Daniel Sjölie,Daniel Sjölie,04/3460
4941,Daniel Soudry,Daniel Soudry,126/1779
4942,Daniel Stamate,Daniel Stamate,49/3534
4943,Daniel Stanley Tan,Daniel Stanley Tan,216/6502
4944,Daniel Stefankovic,Daniel Stefankovic,00/3605
4945,Daniel Strüber 0001,Daniel Strüber 0001,46/11388-1
4946,Daniel Szafir,Daniel Szafir,97/11299
4947,Daniel Sánchez 0003,Daniel Sánchez 0003,67/2030-3
4948,Daniel Vanderpooten,Daniel Vanderpooten,22/5804
4949,Daniel Vogel 0001,Daniel Vogel 0001,59/838
4950,Daniel Votipka,Daniel Votipka,61/11094
4951,Daniel W. Franks,Daniel W. Franks,61/6125
4952,Daniel W. Goldberg,Daniel W. Goldberg,79/8090
4953,Daniel Weingaertner,Daniel Weingaertner,94/5519
4954,Daniel Weiskopf,Daniel Weiskopf,w/DanielWeiskopf
4955,Daniel Wichs,Daniel Wichs,24/2359
4956,Daniel Wigdor,Daniel J. Wigdor,w/DanielWigdor
4957,Daniel Wong 0001,Daniel Wong 0001,30/4954-1
4958,Daniel Xiapu Luo,Xiapu Luo,53/1565
4959,Daniel Zappala,Daniel Zappala,71/2423
4960,Daniel Ziener,Daniel Ziener,88/3006
4961,Daniel de Oliveira 0001,Daniel de Oliveira 0001,68/7553-1
4962,Daniela Damian,Daniela E. Damian,d/DanielaEDamian
4963,Daniela E. Damian,Daniela E. Damian,d/DanielaEDamian
4964,Daniela E. Herlea,Daniela E. Damian,d/DanielaEDamian
4965,Daniela E. Herlea Damian,Daniela E. Damian,d/DanielaEDamian
4966,Daniela G. Trevisan,Daniela Gorski Trevisan,t/DanielaGorskiTrevisan
4967,Daniela Gorski Trevisan,Daniela Gorski Trevisan,t/DanielaGorskiTrevisan
4968,Daniela Grigori,Daniela Grigori,g/DanielaGrigori
4969,Daniela L. Rus,Daniela Rus,r/DanielaRus
4970,Daniela Marghitu,Daniela Marghitu,50/3634
4971,Daniela Nicklas,Daniela Nicklas,n/DanielaNicklas
4972,Daniela Raicu,Daniela Raicu,32/1675
4973,Daniela Rus,Daniela Rus,r/DanielaRus
4974,Daniela Stan,Daniela Stan,32/1675
4975,Daniela Stan Raicu,Daniela Raicu,32/1675
4976,Daniela Trevisan,Daniela Trevisan,t/DanielaGorskiTrevisan
4977,Daniele Braga,Daniele Braga,12/5322
4978,Daniele Gorla,Daniele Gorla,g/DanieleGorla
4979,Daniele Loiacono,Daniele Loiacono,13/4693
4980,Daniele Magazzini,,
4981,Daniele Mazzei,Daniele Mazzei,121/5187
4982,Daniele Micciancio,Daniele Micciancio,03/3331
4983,Daniele Nardi,Daniele Nardi,n/DanieleNardi
4984,Daniele Pannone,Daniele Pannone,183/3736
4985,Daniele Panozzo,Daniele Panozzo,47/5679
4986,Daniele Sgandurra,Daniele Sgandurra,92/413
4987,Daniele Venturi 0001,Daniele Venturi 0001,98/7881
4988,Danielle Albers,Danielle Albers Szafir,83/8320
4989,Danielle Albers Szafir,Danielle Albers Szafir,83/8320
4990,Danielle Azar,Danielle Azar,71/762
4991,Danielle Szafir,Danielle Albers Szafir,83/8320
4992,Daniil Karapetyan,Daniel Karapetyan,83/2501
4993,Danilo Ardagna,Danilo Ardagna,13/1991
4994,Danilo Avola,Danilo Avola,91/3593
4995,Daning Hu,Daning Hu,71/6111
4996,Daniël Paulusma,Daniël Paulusma,18/5531
4997,Danny C. Cheng,Danny C. Cheng,86/5917
4998,Danny Chen,Danny Chen,08/1391
4999,Danny Cheng,Danny Cheng,16/10432
5000,Danny Cohen-Or,Daniel Cohen-Or,c/DCohenOr
5001,Danny De Schreye,Danny De Schreye,s/DannyDeSchreye
5002,Danny Dig,Danny Dig,36/5445
5003,Danny Dolev,Danny Dolev,d/DannyDolev
5004,Danny Hughes 0001,Danny Hughes 0001,h/DannyHughes
5005,Danny Kopec,Danny Kopec,89/674
5006,Danny Kowerko,Danny Kowerko,182/4066
5007,Danny Peleg,David Peleg,p/DavidPeleg
5008,Danny Rakita,,
5009,Danny Raz,Danny Raz,r/DannyRaz
5010,Danny Weyns,Danny Weyns,w/DannyWeyns
5011,Danny Yuxing Huang,Danny Yuxing Huang,77/8851
5012,Danqi Chen,Danqi Chen,87/7949
5013,Dansong Cheng,Dansong Cheng,38/9099
5014,Dante A. C. Barone,Dante Augusto Couto Barone,25/6710
5015,Dante Augusto Couto Barone,Dante Augusto Couto Barone,25/6710
5016,Dante Barone,Dante Augusto Couto Barone,25/6710
5017,Danupon Nanongkai [INF],,
5018,Danushka Bollegala,Danushka Bollegala,b/DanushkaBollegala
5019,Dany Dubé,,
5020,Danyang Zhang,Danyang Zhang,87/1243
5021,Danyang Zhuo,Danyang Zhuo,151/7537
5022,Danúbia Bueno Espíndola,Danúbia Bueno Espíndola,28/7687
5023,Daochuan Hung,D. C. Douglas Hung,87/5784
5024,Daojing He,Daojing He,60/7270
5025,Daoshun Wang,Daoshun Wang,72/2314
5026,Daoxu Chen,Daoxu Chen,37/5760
5027,Daphna Weinshall,Daphna Weinshall,93/1568
5028,Daqing He,Daqing He,41/134
5029,Daqing Zhang 0001,Daqing Zhang 0001,83/1359-1
5030,Dar-Jen Chang,Dar-Jen Chang,20/3803
5031,Darek Kowalski,Dariusz R. Kowalski,43/6109
5032,Daria Siekhaus,,
5033,Dario Colazzo,Dario Colazzo,c/DarioColazzo
5034,Dario D. Salvucci,Dario D. Salvucci,13/6137
5035,Dario Fiore 0001,Dario Fiore 0001,99/2744-1
5036,Dario Landa Silva,Dario Landa Silva,88/4046
5037,Dario Landa-Silva,Dario Landa Silva,88/4046
5038,Dario Paccagnan,Dario Paccagnan,175/9343
5039,Darius Burschka,Darius Burschka,b/DariusBurschka
5040,Dariush Mirshekar-Syahkal,Dariush Mirshekar-Syahkal,50/9742
5041,Dariusz Biernacki,Dariusz Biernacki,03/6365
5042,Dariusz R. Kowalski,Dariusz R. Kowalski,43/6109
5043,Darko Marinov,Darko Marinov,48/3911
5044,Darko Stefanovic,Darko Stefanovic,s/DarkoStefanovic
5045,Darrell D. E. Long,Darrell D. E. Long,49/4298
5046,Darrell Whitley,L. Darrell Whitley,w/LDarrellWhitley
5047,Darren Cosker,Darren Cosker,79/608
5048,Darren Gergle,Darren Gergle,43/1718
5049,Darren P. Cosker,Darren Cosker,79/608
5050,Darush Davani,Darush Davani,34/1249
5051,Daryl D'Souza,Daryl J. D'Souza,24/3878
5052,Daryl H. Hepting,Daryl H. Hepting,12/4934
5053,Daryl Johnson,Daryl Johnson,47/5574
5054,Darío Correal,Darío Correal,64/4496
5055,Darío Ernesto Correal Torres,Darío Correal,64/4496
5056,Dave (Jing) Tian,Jing (Dave) Tian,159/0537
5057,Dave Andersen,David G. Andersen,a/DavidGAndersen
5058,Dave Cliff,Dave Cliff,47/5766
5059,Dave Feil-Seifer,David Feil-Seifer,70/2977
5060,Dave G. Andersen,David G. Andersen,a/DavidGAndersen
5061,Dave Hawkes 0001,David J. Hawkes,14/2317
5062,Dave Jing Tian,Jing (Dave) Tian,159/0537
5063,Dave Levin,Dave Levin,03/6428
5064,Dave Lewis 0001,David Lewis 0001,80/6593-1
5065,Dave Robertson,,
5066,Dave Tian,Jing (Dave) Tian,159/0537
5067,Dave Touchette,Dave Touchette,40/7802
5068,Davi Geiger,Davi Geiger,76/1145
5069,David A. B. Hyde,David Hyde 0001,146/0315-1
5070,David A. Bader,David A. Bader,41/3005
5071,David A. Basin,David A. Basin,b/DavidABasin
5072,David A. Calvert,David A. Calvert,165/1258
5073,David A. Cohen,David A. Cohen,50/3733
5074,David A. Dampier,David A. Dampier,24/2519
5075,David A. Forsyth,David A. Forsyth,f/DavidAForsyth
5076,David A. McAllester,David A. McAllester,m/DavidAMcAllester
5077,David A. Mix Barrington,David A. Mix Barrington,b/DAMBarrington
5078,David A. Mohaisen,David Mohaisen,70/2832
5079,David A. Naumann,David A. Naumann,39/2319
5080,David A. Padua,David A. Padua,p/DavidAPadua
5081,David A. Pike,David A. Pike,77/605
5082,David A. Plaisted,David A. Plaisted,p/DAPlaisted
5083,David A. Smith,David A. Smith,45/3159
5084,David A. Sontag,David A. Sontag,12/673
5085,David A. Umphress,David A. Umphress,92/3071
5086,David A. Wagner 0001,David A. Wagner 0001,42/5626
5087,David Ahlström,David Ahlström,20/273
5088,David Alex Lamb,David Alex Lamb,38/5857
5089,David Alexander Forsyth,David A. Forsyth,f/DavidAForsyth
5090,David Alonso-Ríos,David Alonso-Ríos,20/3687
5091,David Andersen,,
5092,David Andrew Ross,,
5093,David Andrews,David Andrews,25/4212
5094,David Anthony Parker,David Parker 0001,33/3095
5095,David Arnott,David Arnott,86/5697
5096,David Arthur Eppstein,David Eppstein,e/DEppstein
5097,David Aspinall 0001,David Aspinall 0001,19/6243
5098,David B. Adams,David Bruce Adams,08/955
5099,David B. Brown,David B. Brown,b/DavidBBrown
5100,David B. Johnson 0001,David B. Johnson 0001,r/DBJohnson
5101,David B. Leake,David B. Leake,61/6475
5102,David B. Lindell,David B. Lindell,170/2608
5103,David B. Lowe,David B. Lowe,l/DavidLowe
5104,David B. Shmoys,David B. Shmoys,s/DavidBShmoys
5105,David B. Skillicorn,David B. Skillicorn,s/DavidBSkillicorn
5106,David B. Whalley,David B. Whalley,83/6922
5107,David Baelde,David Baelde,58/5271
5108,David Bainbridge,,
5109,David Bamman,David Bamman,39/5799
5110,David Barber,David Barber,47/4760
5111,David Bau,David Bau,47/3614
5112,David Bebbington,David Bebbington,80/3907
5113,David Bell,David Bell,94/3406
5114,David Bermbach,David Bermbach,83/10278
5115,David Bindel,David Bindel,96/6719
5116,David Blaauw,David T. Blaauw,b/DBlaauw
5117,David Black-Schaffer,David Black-Schaffer,58/6781
5118,David Bowers 0001,David Bowers 0001,45/4725
5119,David Bowes,David Bowes,39/7630
5120,David Brander,David Brander,178/5585
5121,David Bremner,David Bremner,b/DavidBremner
5122,David Broman,David Broman,13/3318
5123,David Brooks 0001,David Brooks 0001,30/135
5124,David Brumley,David Brumley,40/2434
5125,David Budgen,David Budgen,01/338
5126,David C. Brown,David C. Brown,53/2134
5127,David C. Hogg,David C. Hogg,h/DHogg
5128,David C. Noelle,David C. Noelle,89/6084
5129,David C. Parkes,David C. Parkes,p/DavidCParkes
5130,David Cabrero Souto,David Cabrero Souto,40/684
5131,David Cachera,David Cachera,52/5561
5132,David Calvert,David Calvert,95/2316
5133,David Carrera,,
5134,David Cash,David Cash,68/158
5135,David Chiang 0001,David Chiang 0001,89/233-1
5136,David Churchill,David Churchill,41/6476
5137,David Clark,David Clark,40/4629
5138,David Cordes,David Cordes,c/DavidCordes
5139,David Corne,David Corne,c/DavidWCorne
5140,David Coyle,David Coyle,96/5266
5141,David Crossland Hogg,David C. Hogg,h/DHogg
5142,David D. Cox,David D. Cox,48/7659
5143,David D. Feng,David D. Feng,f/DavidDaganFeng
5144,David D. Jensen,David D. Jensen,38/828
5145,David Dagan Feng,David Dagan Feng,f/DavidDaganFeng
5146,David Daniel Cox,David D. Cox,48/7659
5147,David Dapeng Zhang,David Zhang 0001,z/DavidZhang
5148,David Devecsery,David Devecsery,127/3085
5149,David Donar,David Donari,37/702
5150,David Doty,David Doty,39/1177
5151,David Duvenaud,David Duvenaud,86/9380
5152,David E. Bakken,David E. Bakken,12/5624
5153,David E. Breen,David E. Breen,39/1780
5154,David E. Carlson,David E. Carlson,30/11107
5155,David E. Evans 0001,David E. Evans 0001,e/DavidEvans
5156,David E. Irwin 0001,David E. Irwin 0001,28/760-1
5157,David E. Keyes,David E. Keyes,27/854
5158,David E. Kieras,David E. Kieras,33/132
5159,David E. Millard,David E. Millard,80/5019
5160,David Ebert,David Ebert,202/3171
5161,David Edward Millard,David E. Millard,80/5019
5162,David Edwin Carlson,David E. Carlson,30/11107
5163,David Emory Irwin,David E. Irwin 0001,28/760-1
5164,David Eppstein,David Eppstein,e/DEppstein
5165,David Evans 0001,David Evans 0001,e/DavidEvans
5166,David F. Fouhey,David F. Fouhey,29/8613
5167,David F. Gleich,David F. Gleich,40/4457
5168,David F. Kotz,David Kotz,k/DavidKotz
5169,David F. Manlove,David F. Manlove,m/DManlove
5170,David F. Oswald,David F. Oswald,190/2073
5171,David F. Redmiles,David F. Redmiles,84/6534
5172,David Feil-Seifer,David Feil-Seifer,70/2977
5173,David Feng,David Feng,16/3471
5174,David Feng 0003,David Dagan Feng,f/DavidDaganFeng
5175,David Fernández-Baca,David Fernández-Baca,62/3259
5176,David Finkel,David Finkel,f/DavidFinkel
5177,David Ford Fouhey,David F. Fouhey,29/8613
5178,David Fouhey,David F. Fouhey,29/8613
5179,David G. Andersen,David G. Andersen,a/DavidGAndersen
5180,David G. Green,David G. Green,44/5967
5181,David G. Mitchell,David G. Mitchell,m/DavidGMitchell
5182,David Galindo,David Galindo,21/2415
5183,David García 0001,David García 0001,37/3550
5184,David García Becerra,David García 0001,37/3550
5185,David Garlan,David Garlan,01/2201
5186,David Gavaghan,David Gavaghan,36/3450
5187,David Gelernter,David Gelernter,g/DavidGelernter
5188,David Gerhard,David Gerhard,22/6222
5189,David Gesbert,David Gesbert,44/3570
5190,David Gifford 0001,David K. Gifford,g/DavidKGifford
5191,David Gotz,David Gotz,13/6295
5192,David Greaves,David Greaves,200/8803
5193,David Green 0002,David Green 0002,44/5967
5194,David Gregg,David Gregg,g/DavidGregg
5195,David Grellscheid,David Grellscheid,92/11053
5196,David H. Ackley,David H. Ackley,11/4038
5197,David H. Albonesi,David H. Albonesi,44/1649
5198,David H. C. Du,David Hung-Chang Du,d/DHCDu
5199,David H. Laidlaw,David H. Laidlaw,87/6639
5200,David Harel,David Harel,h/DavidHarel
5201,David Harris-Birtill,David Harris-Birtill,187/9623
5202,David Hausheer,David Hausheer,76/3287
5203,David Hay,David Hay,97/2867
5204,David Held,David Held,22/11147
5205,David Hendrix,David Hendrix,18/3031
5206,David Hsu,David Hsu,29/331
5207,David Hung-Chang Du,David Hung-Chang Du,d/DHCDu
5208,David Hutchison 0001,David Hutchison 0001,h/DavidHutchison
5209,David Hyde 0001,David Hyde 0001,146/0315-1
5210,David Hästbacka,David Hästbacka,18/1537
5211,David I. August,David I. August,19/5025
5212,David I. W. Levin,David I. W. Levin,97/8315
5213,David Isaacson,David Isaacson,79/5215
5214,David J. Barnes,David J. Barnes,25/5813
5215,David J. Crandall,David J. Crandall,c/DavidCrandall
5216,David J. Duke,David J. Duke,09/1985
5217,David J. Feil-Seifer,,
5218,David J. Fleet,David J. Fleet,07/2099
5219,David J. Gavaghan,David Gavaghan,36/3450
5220,David J. Greaves,David J. Greaves,26/4669
5221,David J. Hawkes,David J. Hawkes,14/2317
5222,David J. Kriegman,David J. Kriegman,k/DavidJKriegman
5223,David J. Mostow,Jack Mostow,m/JackMostow
5224,David J. Pearce,,
5225,David J. Perreault,David J. Perreault,83/10293
5226,David J. Pym,David J. Pym,16/3107
5227,David J. Thuente,David J. Thuente,58/3135
5228,David J. Weir,David J. Weir,04/3822
5229,David J. Weston,David J. Weston,38/2181
5230,David J. Wild 0001,David J. Wild 0001,62/4871
5231,David J. Wu 0001,David J. Wu 0001,32/10400-1
5232,David Jackson 0001,David Jackson 0001,01/5646-1
5233,David Jacobs 0001,David Jacobs 0001,j/DavidWJacobs
5234,David Jao,David Jao,51/2578
5235,David John Hawkes,David J. Hawkes,14/2317
5236,David Jones,David Jones,65/6010
5237,David Juedes,David W. Juedes,j/DavidWJuedes
5238,David Jurgens,David Jurgens,48/4613
5239,David K. Duvenaud,David Duvenaud,86/9380
5240,David K. Gifford,David K. Gifford,g/DavidKGifford
5241,David K. Lowenthal,David K. Lowenthal,l/DavidKLowenthal
5242,David K. Probst,David K. Probst,27/375
5243,David K.Y. Chiu,David K. Y. Chiu,33/5288
5244,David Kaeli,,
5245,David Kay,David Kay,67/3159
5246,David Kempe 0001,David Kempe 0001,63/5749-1
5247,David Klappholz,David Klappholz,k/DavidKlappholz
5248,David Koslicki,David Koslicki,38/9446
5249,David Kotz,David Kotz,k/DavidKotz
5250,David Kristjanson Duvenaud,David Duvenaud,86/9380
5251,David Kung,David Kung,172/2774
5252,David L. Dowe,David L. Dowe,d/DLDowe
5253,David L. Poole,David Poole 0001,p/DavidPoole
5254,David L. Roberts,,
5255,David L. Roberts 0001,David L. Roberts 0001,63/1523
5256,David L. Spooner,David L. Spooner,s/DavidLSpooner
5257,David L. Wehlau,David L. Wehlau,54/3960
5258,David Lazer,David Lazer,71/1244
5259,David Leake,David Leake,61/6475
5260,David Lee 0002,David Lee 0002,153/6764
5261,David Lewis 0001,David Lewis 0001,80/6593-1
5262,David Lie,David Lie,l/DavidLie
5263,David Lillis,David Lillis,91/1599
5264,David Lindlbauer,David Lindlbauer,128/9519
5265,David Lo 0001,David Lo 0001,89/6793-1
5266,David M. Blei,David M. Blei,86/1910
5267,David M. Bortz,David M. Bortz,46/10200
5268,David M. Brooks,David Brooks 0001,30/135
5269,David M. Chelberg,David M. Chelberg,34/3918
5270,David M. Eyers,David M. Eyers,55/684
5271,David M. J. Tax,David M. J. Tax,40/3077
5272,David M. Laverty,David M. Laverty,81/10727
5273,David M. Mimno,David M. Mimno,39/5487
5274,David M. Mount,David M. Mount,m/DavidMMount
5275,David M. Nichols,David M. Nichols,82/4253
5276,David M. Pennock,David M. Pennock,p/DavidMPennock
5277,David Madigan,David Madigan,22/1891
5278,David Maier 0001,David Maier 0001,m/DavidMaier
5279,David Malah,David Malah,13/4772
5280,David Manlove,David F. Manlove,m/DManlove
5281,David Martins de Matos,David Martins de Matos,24/190
5282,David Martinus Johannes Tax,David M. J. Tax,40/3077
5283,David May,,
5284,David Mazières,David Mazières,m/DMazieres
5285,David McAllester,David McAllester,198/5051
5286,David McG. Squire,David McG. Squire,s/DavidMcGSquire
5287,David McNeill,David McNeill,74/307
5288,David Meger,David Meger,51/3415
5289,David Menoti,David Menotti,10/2834
5290,David Menotti,David Menotti,10/2834
5291,David Menotti Gomes,David Menotti,10/2834
5292,David Michael Eyers,David M. Eyers,55/684
5293,David Miller,David Miller,25/721
5294,David Mimno,David M. Mimno,39/5487
5295,David Mohaisen,David Mohaisen,70/2832
5296,David Morales-Jiménez,David Morales-Jiménez,44/4323
5297,David Mould,David Mould,16/3426
5298,David N. Turner,David N. Turner,t/DavidNTurner
5299,David Naccache,David Naccache,41/6833
5300,David Nassimi,David Nassimi,71/5405
5301,David Novick,David Novick,182/5136
5302,David O. Johnson,David O. Johnson,66/7615
5303,David O. LeVan,David O. LeVan,78/1956
5304,David Orville Johnson,David O. Johnson,66/7615
5305,David P. Helmbold,David P. Helmbold,10/1058
5306,David P. Williamson,David P. Williamson,w/DavidPWilliamson
5307,David P. Woodruff,David P. Woodruff,w/DPWoodruff
5308,David Page,David Page,p/DavidPage
5309,David Parker 0001,David Parker 0001,33/3095
5310,David Pearce 0005,,
5311,David Peleg,David Peleg,p/DavidPeleg
5312,David Pichardie,David Pichardie,37/6728
5313,David Pointcheval,David Pointcheval,p/DPointcheval
5314,David Poole 0001,David Poole 0001,p/DavidPoole
5315,David R. Cheriton,David R. Cheriton,c/DRCheriton
5316,David R. Choffnes,David R. Choffnes,48/6854
5317,David R. Flatla,David R. Flatla,93/7981
5318,David R. Gilbert,David R. Gilbert,g/DavidRGilbert
5319,David R. Kaeli,David R. Kaeli,k/DavidRKaeli
5320,David R. Karger,David R. Karger,k/DavidRKarger
5321,David R. O'Hallaron,David R. O'Hallaron,29/1660
5322,David Rajaratnam,David Rajaratnam,59/4677
5323,David Rappaport,David Rappaport,92/900
5324,David Richerby,David Richerby,r/DavidRicherby
5325,David Roger Gilbert,David R. Gilbert,g/DavidRGilbert
5326,David Rossiter,David Rossiter,10/2815
5327,David S. Bindel,David Bindel,96/6719
5328,David S. Bowers,David Bowers 0001,45/4725
5329,David S. Doermann,David S. Doermann,88/6921
5330,David S. Rosenblum,David S. Rosenblum,r/DSRosenblum
5331,David S. Wishart,David S. Wishart,15/3562
5332,David Saldana,David Saldana,132/7069
5333,David Saldaña,David Saldana,132/7069
5334,David Sands 0001,David Sands 0001,s/DavidSands
5335,David Sarne,David Sarne,03/5237
5336,David Schlangen,David Schlangen,11/1189
5337,David Schwartz,David Schwartz,82/2262
5338,David Scott,David Scott,59/3044
5339,David Scuse,David H. Scuse,11/2977
5340,David Smahel,David Smahel,81/9849
5341,David Squire,David Squire,s/DavidMcGSquire
5342,David Starobinski,David Starobinski,62/3017
5343,David Steurer,David Steurer,59/254
